,appearances,goals,wins,losses,goals_per_game,att_pen_goal,att_freekick_goal,total_scoring_att,ontarget_scoring_att,goal_assist,total_pass,total_pass_per_game,big_chance_created,total_cross,cross_accuracy,total_through_ball,accurate_long_balls,tackle_success,total_tackle,blocked_scoring_att,interception,total_clearance,ball_recovery,duel_won,duel_lost,won_contest,aerial_won,aerial_lost,error_lead_to_goal,Year
0,35,8,20,9,0.23,0,0,49,19,4,"1,834",52.40,5,33,9%,29,110,76%,49,10,37,29,156,165,213,51,34,66,0,2010/11
1,32,6,23,4,0.19,0,0,65,16,6,"2,419",75.59,8,22,9%,42,176,82%,55,13,39,27,167,139,117,37,20,13,0,2011/12
2,32,7,20,5,0.22,0,0,69,23,5,"2,525",78.91,9,23,22%,31,174,76%,37,20,28,19,166,131,153,35,26,34,0,2012/13
3,35,20,25,6,0.57,6,4,64,27,9,"2,502",71.49,9,12,25%,17,162,69%,54,14,24,33,195,149,161,42,30,36,1,2013/14
4,29,10,21,6,0.34,2,0,89,27,1,"2,412",83.17,6,6,50%,19,112,79%,29,25,16,22,170,134,138,51,37,31,0,2014/15
5,32,6,17,7,0.19,1,0,77,23,5,"1,838",57.44,5,12,25%,20,108,63%,43,27,25,35,158,155,162,58,28,33,0,2015/16
6,25,5,16,4,0.20,2,0,32,15,0,"1,798",71.92,1,4,25%,12,97,67%,42,4,16,39,131,119,111,27,40,28,0,2016/17
7,10,0,9,0,0.00,0,0,5,1,2,416,41.60,1,0,0%,3,13,100%,2,4,5,4,9,11,11,4,5,4,0,2017/18
8,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,2018/19
